"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Afghanistan,2023-03-02,"209,359",+19,"7,896",,"191,166",+10,"10,297",45,"5,137",194,"1,201,475","29,481","40,754,388",Asia,195,"5,161",34.0,0.5,,253
Afghanistan,2023-03-03,"209,362",+3,"7,896",,"191,170",+4,"10,296",45,"5,137",194,"1,201,744","29,487","40,754,388",Asia,195,"5,161",34.0,0.07,,253
Afghanistan,2023-03-04,"209,370",+4,"7,896",,"191,181",+7,"10,293",45,"5,137",194,"1,202,018","29,494","40,754,388",Asia,195,"5,161",34.0,0.1,,253
Afghanistan,2023-03-05,"209,390",+20,"7,896",,"191,212",+31,"10,282",45,"5,138",194,"1,202,290","29,501","40,754,388",Asia,195,"5,161",34.0,0.5,,252
Afghanistan,2023-03-06,"209,394",+24,"7,896",,"191,233",+52,"10,265",45,"5,138",194,"1,202,290","29,501","40,754,388",Asia,195,"5,161",34.0,0.6,,252
Afghanistan,2023-03-07,"209,415",+21,"7,896",,"191,243",+10,"10,276",45,"5,138",194,"1,202,868","29,515","40,754,388",Asia,195,"5,161",34.0,0.5,,252
Afghanistan,2023-03-08,"209,441",+26,"7,896",,"191,262",+19,"10,283",45,"5,139",194,"1,203,414","29,528","40,754,388",Asia,195,"5,161",34.0,0.6,,252
Afghanistan,2023-03-09,"209,451",+10,"7,896",,"191,272",+10,"10,283",45,"5,139",194,"1,203,807","29,538","40,754,388",Asia,195,"5,161",34.0,0.2,,252
Afghanistan,2023-03-10,"209,484",+2,"7,896",,"191,284",+4,"10,304",45,"5,140",194,"1,204,573","29,557","40,754,388",Asia,195,"5,161",34.0,0.05,,253
Africa,2023-03-02,"12,795,801",+732,"258,590",,"12,076,247",+132,"460,964",548,,,,,,Africa,,,,,,
Africa,2023-03-03,"12,796,326",+525,"258,590",,"12,076,332",+85,"461,404",548,,,,,,Africa,,,,,,
Africa,2023-03-04,"12,796,404",+78,"258,590",,"12,076,449",+117,"461,365",548,,,,,,Africa,,,,,,
Africa,2023-03-05,"12,796,571",+167,"258,593",3.0,"12,076,616",+167,"461,362",548,,,,,,Africa,,,,,,
Africa,2023-03-06,"12,796,571",+167,"258,593",3.0,"12,076,616",+167,"461,362",548,,,,,,Africa,,,,,,
Africa,2023-03-07,"12,797,574","+1,003","258,593",,"12,076,693",+77,"462,288",548,,,,,,Africa,,,,,,
Africa,2023-03-08,"12,798,177",+603,"258,603",10.0,"12,076,799",+106,"462,775",548,,,,,,Africa,,,,,,
Africa,2023-03-09,"12,799,176",+999,"258,610",7.0,"12,077,232",+433,"463,334",548,,,,,,Africa,,,,,,
Africa,2023-03-10,"12,800,105",+478,"258,610",,"12,077,312",+55,"464,183",548,,,,,,Africa,,,,,,
Albania,2023-03-02,"334,408",,"3,596",,"329,152",,"1,660",,"116,666","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,,,579
Albania,2023-03-03,"334,427",+19,"3,597",1.0,"329,169",+17,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,7,0.3,579
