"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Asia,"214,671,072","+31,436","1,538,217",+138,"199,280,553","+22,103","13,852,302","15,552",,,,,,Asia,,,,,,
North America,"124,960,556","+11,880","1,614,961",+68,"120,311,241","+46,749","3,034,354","7,529",,,,,,North America,,,,,,
Europe,"246,871,997","+36,468","2,022,205",+296,"242,431,459","+53,853","2,418,333","6,456",,,,,,Europe,,,,,,
South America,"68,077,051","+4,172","1,351,107",+24,"66,316,624",+411,"409,320","10,184",,,,,,South America,,,,,,
Oceania,"14,027,548",+3,"26,221",,"13,861,755",+15,"139,572",55,,,,,,Australia/Oceania,,,,,,
Africa,"12,800,105",+478,"258,610",,"12,077,312",+55,"464,183",548,,,,,,Africa,,,,,,
,721,,15,,706,,0,0,,,,,,,,,,,,
World,"681,409,050","+84,437","6,811,336",+526,"654,279,650","+123,186","20,318,064","40,324","87,418",873.8,,,,All,,,,,,
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia,"2,878","274,748",9,,,82
USA,"105,599,065","+7,451","1,148,765",+50,"103,126,259","+42,429","1,324,041","2,365","315,404","3,431","1,168,585,832","3,490,345","334,805,269",North America,3,291,0,22,0.1,"3,955"
India,"44,689,968",+456,"530,780",+1,"44,155,439",,"3,749",N/A,"31,771",377,"919,485,211","653,679","1,406,631,776",Asia,31,"2,650",2,0.3,,3
France,"39,645,300","+6,188","165,163",+90,"39,421,220","+7,825","58,917",869,"604,492","2,518","271,490,188","4,139,547","65,584,518",Europe,2,397,0,94,1,898
Germany,"38,256,003","+6,943","169,057",+122,"37,839,100","+15,900","247,846",N/A,"456,061","2,015","122,332,384","1,458,359","83,883,596",Europe,2,496,1,83,1,"2,955"
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America,6,308,3,,,636
Japan,"33,307,409","+9,113","73,038",+49,"21,699,006","+1,263","11,535,365",116,"265,218",582,"96,082,498","765,080","125,584,838",Asia,4,"1,719",1,73,0.4,"91,853"
S. Korea,"30,615,522","+10,335","34,093",+12,"30,399,814","+4,304","181,615",146,"596,446",664,"15,804,065","307,892","51,329,899",Asia,2,"1,506",3,201,0.2,"3,538"
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770",Europe,2,320,0,,,"2,391"
UK,"24,396,534",,"207,695",,"24,119,403",,"69,436",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907",Europe,3,330,0,,,"1,014"
Russia,"22,398,867","+10,311","396,507",+44,"21,744,431","+14,663","257,929",N/A,"153,621","2,719","273,400,000","1,875,095","145,805,947",Europe,7,368,1,71,0.3,"1,769"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
Spain,"13,778,467","+1,150","119,618",+19,"13,624,507","+1,179","34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142",Europe,3,391,0,25,0.4,735
