Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Afghanistan,2023-03-02,209359,19,7896.0,0.0,191166.0,10,10297.0,45,1201475.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-03,209362,3,7896.0,0.0,191170.0,4,10296.0,45,1201744.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-04,209370,4,7896.0,0.0,191181.0,7,10293.0,45,1202018.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-05,209390,20,7896.0,0.0,191212.0,31,10282.0,45,1202290.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-06,209394,24,7896.0,0.0,191233.0,52,10265.0,45,1202290.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-07,209415,21,7896.0,0.0,191243.0,10,10276.0,45,1202868.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-08,209441,26,7896.0,0.0,191262.0,19,10283.0,45,1203414.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-09,209451,10,7896.0,0.0,191272.0,10,10283.0,45,1203807.0,40754388,Asia,195,33.7680065,66.2385139
Afghanistan,2023-03-10,209484,2,7896.0,0.0,191284.0,4,10304.0,45,1204573.0,40754388,Asia,195,33.7680065,66.2385139
Albania,2023-03-02,334408,0,3596.0,0.0,329152.0,0,1660.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-03,334427,19,3597.0,1.0,329169.0,17,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-04,334427,0,3597.0,0.0,329169.0,0,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-05,334427,0,3597.0,0.0,329169.0,0,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-06,334427,0,3597.0,0.0,329169.0,0,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-07,334427,0,3597.0,0.0,329169.0,0,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-08,334427,0,3597.0,0.0,329169.0,0,1661.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-09,334443,16,3598.0,1.0,329185.0,16,1660.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Albania,2023-03-10,334474,17,3598.0,0.0,329206.0,11,1670.0,0,1941032.0,2866374,Europe,9,41.000028,19.9999619
Algeria,2023-03-02,271463,15,6881.0,0.0,182797.0,3,81785.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-03,271469,6,6881.0,0.0,182799.0,2,81789.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-04,271469,0,6881.0,0.0,182799.0,0,81789.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-05,271477,8,6881.0,0.0,182803.0,4,81793.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-06,271477,8,6881.0,0.0,182803.0,4,81793.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-07,271477,0,6881.0,0.0,182804.0,1,81792.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-08,271490,13,6881.0,0.0,182808.0,4,81801.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-09,271494,4,6881.0,0.0,182811.0,3,81802.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Algeria,2023-03-10,271499,3,6881.0,0.0,182819.0,6,81799.0,0,230861.0,45350148,Africa,167,28.0000272,2.9999825
Angola,2023-03-02,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-03,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-04,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-05,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-06,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-07,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-08,105277,0,1933.0,0.0,103317.0,0,27.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-09,105288,11,1933.0,0.0,103342.0,25,13.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Angola,2023-03-10,105288,0,1933.0,0.0,103342.0,0,13.0,0,1499795.0,35027343,Africa,333,-11.8775768,17.5691241
Argentina,2023-03-02,10044125,0,130463.0,0.0,9909866.0,0,3796.0,363,35716069.0,46010234,South America,5,-34.9964963,-64.9672817
Argentina,2023-03-03,10044125,0,130463.0,0.0,9909866.0,0,3796.0,363,35716069.0,46010234,South America,5,-34.9964963,-64.9672817
